mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__solver,param_model__class_weight,param_model__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06973495483398437,0.019358739604443426,0.03659515380859375,0.0017538143954349548,lbfgs,balanced,0.06951927961775606,"{'model__solver': 'lbfgs', 'model__class_weight': 'balanced', 'model__C': np.float64(0.06951927961775606)}",0.9338624338624338,0.9259259259259259,0.8809523809523809,0.8809523809523809,0.8991596638655462,0.9041705571117336,0.022172866646775546,7
0.05554409027099609,0.0024930785156094567,0.044109153747558597,0.005887213574692665,lbfgs,,0.001,"{'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': np.float64(0.001)}",0.91005291005291,0.8915343915343914,0.8571428571428571,0.8544973544973545,0.9047619047619048,0.8835978835978835,0.0234839587525631,39
0.059883737564086915,0.008041008324992197,0.03822011947631836,0.003321733917865012,lbfgs,balanced,0.02069138081114789,"{'model__solver': 'lbfgs', 'model__class_weight': 'balanced', 'model__C': np.float64(0.02069138081114789)}",0.9206349206349206,0.9206349206349207,0.865079365079365,0.8703703703703703,0.8935574229691876,0.8940553999377527,0.023722483191124213,17
0.058477020263671874,0.008082278250315093,0.04123992919921875,0.006381229786552791,liblinear,balanced,0.06951927961775606,"{'model__solver': 'liblinear', 'model__class_weight': 'balanced', 'model__C': np.float64(0.06951927961775606)}",0.9338624338624338,0.9259259259259259,0.8835978835978835,0.8809523809523809,0.8991596638655462,0.9046996576408342,0.021637613228679922,5
0.057659339904785153,0.0023503107693893964,0.03605527877807617,0.0005576386086364426,lbfgs,balanced,0.011288378916846888,"{'model__solver': 'lbfgs', 'model__class_weight': 'balanced', 'model__C': np.float64(0.011288378916846888)}",0.917989417989418,0.9179894179894179,0.8597883597883598,0.8677248677248678,0.8991596638655461,0.892530345471522,0.024607421490389747,22
0.05732011795043945,0.0041333708612878795,0.03761324882507324,0.0015867961283221484,lbfgs,,0.06951927961775606,"{'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': np.float64(0.06951927961775606)}",0.9338624338624338,0.9285714285714286,0.8809523809523809,0.8809523809523809,0.8991596638655462,0.9046996576408342,0.02271073224526242,5
0.056063365936279294,0.0012922398841204896,0.035655975341796875,0.0004227482110652789,lbfgs,balanced,0.003359818286283781,"{'model__solver': 'lbfgs', 'model__class_weight': 'balanced', 'model__C': np.float64(0.003359818286283781)}",0.9126984126984127,0.8968253968253969,0.8597883597883598,0.8597883597883598,0.9019607843137254,0.8862122626828508,0.02217483249491474,33
0.0655980110168457,0.002964952379994147,0.04243617057800293,0.012043902901451808,lbfgs,balanced,29.763514416313193,"{'model__solver': 'lbfgs', 'model__class_weight': 'balanced', 'model__C': np.float64(29.763514416313193)}",0.8994708994708994,0.9074074074074073,0.8756613756613756,0.8783068783068784,0.8599439775910364,0.8841581076875193,0.017133399933374066,38
0.05734829902648926,0.003796571965969425,0.03564820289611816,0.0002467661825178415,lbfgs,,0.0018329807108324356,"{'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': np.float64(0.0018329807108324356)}",0.9126984126984127,0.8941798941798941,0.8571428571428571,0.8544973544973545,0.9047619047619048,0.8846560846560847,0.024281045302822775,36
0.05411715507507324,0.002081849033215012,0.03674206733703613,0.001882512141422757,lbfgs,,0.006158482110660267,"{'model__solver': 'lbfgs', 'model__class_weight': None, 'model__C': np.float64(0.006158482110660267)}",0.917989417989418,0.9074074074074074,0.8597883597883599,0.8597883597883598,0.8991596638655462,0.8888266417678183,0.02444965175626703,25
