mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.33980579376220704,0.014086905259158507,0.03912353515625,0.0020280368569533217,0.9,0.5,0.5,500,5,0.01,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.5, 'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.8}",0.9285714285714285,0.9047619047619049,0.8386243386243386,0.8783068783068784,0.8683473389355741,0.8837223778400249,0.030833915230508727,11
0.23389577865600586,0.019078967189689704,0.037591552734375,0.0007272936554902849,0.9,5.0,0.5,300,6,0.03,0.8,"{'model__subsample': 0.9, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 300, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.9312169312169312,0.8941798941798942,0.8624338624338624,0.8756613756613757,0.8655462184873949,0.8858076563958918,0.02526619768911597,4
0.1614710807800293,0.01011133606763781,0.03732151985168457,0.0009386464233232648,1.0,0.0,0.1,300,3,0.1,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.9153439153439153,0.8809523809523809,0.828042328042328,0.8492063492063493,0.8515406162464987,0.8650171179582944,0.03028349629098137,58
0.28673954010009767,0.01611872773360363,0.0464533805847168,0.019011049639457225,0.7,5.0,0.5,500,3,0.01,1.0,"{'model__subsample': 0.7, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 500, 'model__max_depth': 3, 'model__learning_rate': 0.01, 'model__colsample_bytree': 1.0}",0.9312169312169312,0.9047619047619047,0.8571428571428571,0.873015873015873,0.8823529411764707,0.8896981014628074,0.025856617923870662,1
0.3464632034301758,0.07232706164900489,0.07702755928039551,0.010056630356837617,1.0,0.0,0.1,500,6,0.1,0.9,"{'model__subsample': 1.0, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 500, 'model__max_depth': 6, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.9232804232804233,0.8968253968253969,0.8042328042328043,0.8783068783068783,0.8599439775910364,0.8725178960473077,0.04005535737009806,44
0.39017224311828613,0.04926294380775771,0.07194008827209472,0.004893779035875018,1.0,1.0,0.0,500,5,0.1,0.9,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 500, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.9206349206349206,0.9021164021164021,0.8253968253968254,0.8650793650793651,0.8459383753501399,0.8718331777155306,0.03513167625780974,49
0.8043522357940673,0.04636257674740846,0.06121397018432617,0.015085920826329329,0.9,0.0,0.5,800,5,0.01,0.9,"{'model__subsample': 0.9, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 800, 'model__max_depth': 5, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.9}",0.9365079365079365,0.8994708994708995,0.828042328042328,0.873015873015873,0.8599439775910364,0.8793962029256146,0.03666350146921593,17
0.2866694927215576,0.044075660368729286,0.060596799850463866,0.025685769243776007,0.8,0.5,0.0,300,6,0.03,0.7,"{'model__subsample': 0.8, 'model__reg_lambda': 0.5, 'model__reg_alpha': 0.0, 'model__n_estimators': 300, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.7}",0.9285714285714286,0.9047619047619048,0.8386243386243386,0.8809523809523809,0.8683473389355743,0.8842514783691253,0.03075905444881414,8
0.36219058036804197,0.07027034355528305,0.04898991584777832,0.013833342626422098,0.8,1.0,0.5,300,6,0.01,0.7,"{'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 300, 'model__max_depth': 6, 'model__learning_rate': 0.01, 'model__colsample_bytree': 0.7}",0.9365079365079365,0.8862433862433863,0.8597883597883598,0.8730158730158731,0.8711484593837535,0.8853408029878619,0.026926359124284076,7
0.15659637451171876,0.0074584762201228795,0.0385129451751709,0.0030417870081841793,1.0,0.0,0.1,300,3,0.1,0.9,"{'model__subsample': 1.0, 'model__reg_lambda': 0.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 300, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.9}",0.9206349206349207,0.9021164021164021,0.8174603174603174,0.8386243386243386,0.8515406162464986,0.8660753190164954,0.038997287303569134,57
