mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.028507137298584,0.09295844388516368,0.19234075546264648,0.011838615573190343,600,6,3,log2,6,,"{'model__n_estimators': 600, 'model__min_samples_split': 6, 'model__min_samples_leaf': 3, 'model__max_features': 'log2', 'model__max_depth': 6, 'model__class_weight': None}",0.9206349206349206,0.9047619047619047,0.8783068783068783,0.8597883597883598,0.9047619047619047,0.8936507936507937,0.021712470400722935,5
1.6307587146759033,0.05057493873824258,0.15542845726013182,0.015357304696342085,400,10,5,1.0,12,balanced,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 1.0, 'model__max_depth': 12, 'model__class_weight': 'balanced'}",0.9206349206349207,0.8968253968253969,0.8571428571428571,0.8888888888888888,0.8487394957983193,0.8824463118580766,0.026393366564414232,38
2.9453916549682617,0.604736633189032,0.2702829837799072,0.0642939897661042,600,2,2,sqrt,10,balanced,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 10, 'model__class_weight': 'balanced'}",0.9232804232804233,0.9047619047619047,0.865079365079365,0.8650793650793651,0.8907563025210083,0.8897914721444133,0.022662440600206002,16
3.483296251296997,0.6793096150670875,0.2848142147064209,0.06484757804956162,600,6,2,0.7,6,balanced,"{'model__n_estimators': 600, 'model__min_samples_split': 6, 'model__min_samples_leaf': 2, 'model__max_features': 0.7, 'model__max_depth': 6, 'model__class_weight': 'balanced'}",0.933862433862434,0.8941798941798942,0.8465608465608465,0.8756613756613757,0.8487394957983194,0.8798008092125741,0.03229938873264116,40
1.5845476150512696,0.126035537320309,0.15729546546936035,0.04691418455382689,200,2,5,1.0,12,,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 5, 'model__max_features': 1.0, 'model__max_depth': 12, 'model__class_weight': None}",0.9444444444444444,0.8915343915343915,0.8412698412698412,0.8888888888888888,0.8515406162464986,0.883535636476813,0.03636646544802573,35
2.2407110214233397,0.044085058750547794,0.18573293685913086,0.018592122921928803,600,2,2,0.5,,balanced,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': None, 'model__class_weight': 'balanced'}",0.9365079365079365,0.8994708994708995,0.8492063492063492,0.8677248677248678,0.8627450980392156,0.8831310301898536,0.031368473050473994,37
2.251871347427368,0.6238070102490112,0.2016622543334961,0.05543507324504347,400,10,2,0.5,8,balanced,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 0.5, 'model__max_depth': 8, 'model__class_weight': 'balanced'}",0.9365079365079365,0.8994708994708995,0.8571428571428571,0.8783068783068784,0.8711484593837534,0.8885154061624648,0.02761654401250362,19
1.1696279525756836,0.22499711109451756,0.12152900695800781,0.035375714070668744,200,2,3,0.5,4,balanced,"{'model__n_estimators': 200, 'model__min_samples_split': 2, 'model__min_samples_leaf': 3, 'model__max_features': 0.5, 'model__max_depth': 4, 'model__class_weight': 'balanced'}",0.933862433862434,0.8968253968253969,0.8571428571428572,0.873015873015873,0.8823529411764706,0.8886399004046062,0.02602990474977478,18
0.8010805606842041,0.02778257804257232,0.09028105735778809,0.005326873241097477,200,6,1,0.5,6,balanced,"{'model__n_estimators': 200, 'model__min_samples_split': 6, 'model__min_samples_leaf': 1, 'model__max_features': 0.5, 'model__max_depth': 6, 'model__class_weight': 'balanced'}",0.9497354497354497,0.8862433862433863,0.8624338624338623,0.8650793650793651,0.8683473389355743,0.8863678804855276,0.032760471173380414,25
1.505681848526001,0.026033965048415052,0.14570059776306152,0.017908453185256114,400,10,5,0.7,8,,"{'model__n_estimators': 400, 'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 0.7, 'model__max_depth': 8, 'model__class_weight': None}",0.9232804232804233,0.8994708994708995,0.8518518518518519,0.888888888888889,0.8655462184873949,0.8858076563958918,0.025155154506931593,29
