model,run_id,val_auc,val_ap,artifact,cv_auc_best
logreg,logreg_tuned_seed42_1761367619,0.9648829431438126,0.9663800295076592,heart_model_logreg_tuned_seed42_1761367619.pkl,0.9072517896047307
rf,rf_tuned_seed42_1761367619,0.9565217391304348,0.9586527038223387,heart_model_rf_tuned_seed42_1761367619.pkl,0.8957983193277311
xgb,xgb_tuned_seed42_1761367619,0.9481605351170568,0.9532207171994258,heart_model_xgb_tuned_seed42_1761367619.pkl,0.8896981014628074
